Id,Number,Name,Latitude,Longitude,District,Public,Total docks
95,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15
6,D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15
84,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,Yes,15
,A32046,Canal St at Causeway St,42.36530095,-71.06092191,Boston,Yes,23
,H32001,Cary Square,42.39813565,-71.03070972,Chelsea,Yes,12
76,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17
68,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19
419,A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15
433,C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,19
357,E32008,Centre St at Seaverns Ave,42.3121203,-71.1142981,Boston,Yes,15
432,C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Boston,Yes,19
,N32000,Centre St at Washington St,42.35574335,-71.18641943,Newton,Yes,11
60,D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Boston,Yes,19
,W32008,Charles River Greenway - California St. at Fifth Ave,42.36455361,-71.19100392,Watertown,Yes,11
356,D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,Yes,23
,H32003,Chelsea Square,42.39022671,-71.03857018,Chelsea,Yes,11
395,V32009,Chelsea St at Vine St,42.40328057,-71.0476264,Everett,Yes,15
,H32005,Chelsea Station,42.39636528,-71.03987179,Chelsea,Yes,11
195,M32049,Child St at North St,42.37228487,-71.07383825,Cambridge,Yes,23
59,D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19
81,D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19
46,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19
,C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Boston,Yes,19
112,S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,15
384,D32047,Clarendon St at Newbury St,42.35159662,-71.07561663,Boston,Yes,19
,C32104,Cleary Sq,42.2556,-71.12444,Boston,Yes,16
346,B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15
,D32057,Clinton St at North St,42.36070284,-71.05524927,Boston,Yes,18
350,C32055,Codman Square Library,42.2873611,-71.071111,Boston,Yes,17
3,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,Yes,15
203,B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,Yes,15
362,C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,Yes,19
417,C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Boston,Yes,19
9,A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,Yes,15
226,K32006,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,Brookline,Yes,15
344,D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,Yes,19
66,A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Boston,Yes,15
338,D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,Yes,15
239,S32022,Community Path at Cedar Street,42.39407224,-71.11133695,Somerville,Yes,15
,S32040,Community Path at Lowell St,42.392525,-71.105587,Somerville,Yes,19
,M32074,Concord Ave at Spinelli Place,42.390719,-71.1538877,Cambridge,Yes,19
44,D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Boston,Yes,23
186,C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,15
64,C32010,Congress St at Sleeper St,42.3510045,-71.04930013,Boston,Yes,19
71,S32004,Conway Park - Somerville Avenue,42.38363895,-71.10853672,Somerville,Yes,23
69,K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19
