tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
1621,2019-01-01 11:56:20.3380,2019-01-01 12:23:21.6610,88,142,4501,Subscriber,1989,1
1615,2019-01-01 11:56:22.3340,2019-01-01 12:23:17.5900,88,142,2108,Subscriber,1990,2
2313,2019-01-01 11:58:09.6080,2019-01-01 12:36:42.9770,190,105,2191,Customer,1969,0
1265,2019-01-01 12:01:03.7940,2019-01-01 12:22:09.5300,89,142,2714,Subscriber,1989,1
1255,2019-01-01 12:01:11.0340,2019-01-01 12:22:06.7020,89,142,3475,Subscriber,1987,2
1048,2019-01-01 12:04:03.3220,2019-01-01 12:21:32.0360,46,86,2806,Subscriber,1985,2
935,2019-01-01 12:05:36.7460,2019-01-01 12:21:11.8310,193,69,2533,Customer,1969,0
941,2019-01-01 12:05:33.4740,2019-01-01 12:21:15.1750,193,69,3257,Customer,1969,0
5579,2019-01-01 12:08:56.9220,2019-01-01 13:41:56.0000,11,146,3933,Customer,1989,1
5516,2019-01-01 12:09:54.4220,2019-01-01 13:41:50.8330,11,146,4442,Customer,1989,1
993,2019-01-01 12:11:34.1570,2019-01-01 12:28:07.5780,377,90,2518,Customer,1969,0
925,2019-01-01 12:12:31.2210,2019-01-01 12:27:56.6830,377,90,2629,Customer,1969,0
501,2019-01-01 12:13:07.9420,2019-01-01 12:21:29.6470,67,139,3627,Subscriber,1967,1
568,2019-01-01 12:13:23.8680,2019-01-01 12:22:52.5390,71,73,3810,Subscriber,1984,1
596,2019-01-01 12:13:58.7380,2019-01-01 12:23:55.5760,332,86,2517,Customer,1969,0
2146,2019-01-01 12:14:30.3520,2019-01-01 12:50:16.7120,180,67,2816,Subscriber,1992,2
1753,2019-01-01 12:20:25.0450,2019-01-01 12:49:38.0480,206,361,2794,Customer,1969,0
1715,2019-01-01 12:21:12.9110,2019-01-01 12:49:48.2710,206,361,3017,Customer,1969,0
8319,2019-01-01 12:21:24.8750,2019-01-01 14:40:04.1810,97,97,2337,Customer,1969,2
458,2019-01-01 12:22:00.1740,2019-01-01 12:29:38.9540,76,80,2565,Subscriber,1993,2
3369,2019-01-01 12:23:07.1640,2019-01-01 13:19:16.9440,27,190,3941,Customer,1971,1
3345,2019-01-01 12:23:57.6590,2019-01-01 13:19:43.0910,27,190,4473,Customer,1971,1
3314,2019-01-01 12:24:11.0810,2019-01-01 13:19:25.9460,27,190,4067,Customer,1971,1
3309,2019-01-01 12:24:23.2380,2019-01-01 13:19:32.2400,27,190,4390,Customer,1971,1
3288,2019-01-01 12:24:43.5490,2019-01-01 13:19:32.3820,27,190,3581,Customer,1969,0
505,2019-01-01 12:24:58.3920,2019-01-01 12:33:23.7620,30,69,4014,Subscriber,1989,1
3256,2019-01-01 12:24:53.2880,2019-01-01 13:19:09.5800,27,190,4155,Customer,1969,0
1809,2019-01-01 12:26:31.2930,2019-01-01 12:56:40.8560,226,190,3424,Customer,1969,0
1801,2019-01-01 12:26:40.9810,2019-01-01 12:56:42.2290,226,190,2256,Customer,1969,0
276,2019-01-01 12:27:46.9180,2019-01-01 12:32:23.7060,108,74,4168,Subscriber,1993,1
1755,2019-01-01 12:28:44.1340,2019-01-01 12:57:59.6020,152,342,2554,Customer,1969,0
1752,2019-01-01 12:28:49.1840,2019-01-01 12:58:01.9720,152,342,2384,Customer,1969,0
441,2019-01-01 12:29:25.7350,2019-01-01 12:36:47.7190,87,68,4519,Subscriber,1972,2
1008,2019-01-01 12:30:31.9200,2019-01-01 12:47:20.3850,372,68,4030,Subscriber,1971,1
657,2019-01-01 12:31:58.2650,2019-01-01 12:42:55.9650,87,10,2090,Subscriber,1991,1
3250,2019-01-01 12:38:03.9010,2019-01-01 13:32:13.9660,110,36,2251,Subscriber,1979,2
3126,2019-01-01 12:40:00.8600,2019-01-01 13:32:07.5650,110,36,2917,Customer,1969,0
1445,2019-01-01 12:40:43.5200,2019-01-01 13:04:49.1300,88,16,2869,Subscriber,1968,1
228,2019-01-01 12:43:45.9130,2019-01-01 12:47:34.4620,76,88,2606,Subscriber,1994,1
2964,2019-01-01 12:45:34.9300,2019-01-01 13:34:59.8120,115,144,4214,Customer,1969,0
